date,performance,accessibility,best_practices,seo
2026-02-28,48.55,92.72,85,89.39
2026-03-01,49.49,93.05,85.12,89.28
2026-03-02,49.37,91.41,85.57,88.93
2026-03-03,47.19,91.51,85.34,88.93
2026-03-04,46.29,92.19,84.01,90
2026-03-05,49.68,92.16,84.71,89.38
2026-03-06,49.23,92.21,85.42,89.5
2026-03-07,48.24,92.03,85.05,90.26
2026-03-08,49.18,92.28,84.84,89.23
2026-03-09,48.02,91.98,85.47,88.24
2026-03-10,46.51,91.66,85.28,88.37
2026-03-11,47.49,92.45,84.58,89.23
2026-03-12,47.49,92.2,84.29,89.01
2026-03-13,49.94,91.91,85.45,88.81
2026-03-14,48.98,92,84.86,89.29
2026-03-15,48.9,92.28,84.91,89.81
2026-03-16,53.56,91.33,84.29,89.34
2026-03-17,54.43,91.29,84.55,88.76
2026-03-18,55.32,92.66,85.4,88.87
2026-03-19,54.03,92.8,85.22,89.36
2026-03-20,52.98,92.26,83.92,88.31
2026-03-21,52.97,92.3,84.07,88.31
2026-03-22,53.85,92.74,84.42,89.41
2026-03-23,54.25,91.46,83.88,87.9
2026-03-24,56.7,92.33,84.19,89.5
2026-03-25,56.56,92.48,84.39,89.67
2026-03-26,54.26,91.49,83.8,88.58
2026-03-27,53.41,91.79,83.91,88.94
2026-03-28,51.38,91.67,83.83,89.49
2026-03-29,53.32,92,84.42,89.91
2026-03-30,0,0,0,0
